# x0,y0,x1,y1,color (grid 51x51)
24,14.5,zwart
25,14.5,geel
26,14.5,blauw
27,14.5,rood
28,14.5,zwart
29,14.5,geel
30,14.5,zwart
31,14.5,grijs
32,14.5,blauw
33,14.5,zwart
34,14.5,gebrokenwit
35,14.5,geel
36,14.5,zwart
37,14.5,gebrokenwit
38,14.5,rood
12,22,geel
13,22,gebrokenwit
14,22,rood
15,22,geel
16,22,grijs
17,22,zwart
18,22,blauw
19,22,geel
20,22,blauw
21,22,geel
22,22,blauw
23,22,rood
24,22,geel
25,22,zwart
26,22,geel
27,22,rood
28,22,zwart
29,22,gebrokenwit
30,22,rood
31,22,zwart
32,22,geel
33,22,geel
34,22,rood
35,22,geel
36,22,zwart
37,22,gebrokenwit
19,26,gebrokenwit
20,26,rood
21,26,geel
22,26,blauw
23,26,zwart
24,26,rood
25,26,zwart
26,26,geel
27,26,zwart
28,26,gebrokenwit
29,26,zwart
30,26,rood
31,26,gebrokenwit
32,26,rood
33,26,zwart
34,26,rood
35,26,gebrokenwit
36,26,rood
37,26,gebrokenwit
38,26,blauw
10,30,rood
11,30,wit
12,30,geel
13,30,blauw
14,30,rood
15,30,wit
16,30,rood
17,30,wit
18,30,zwart
19,30,blauw
20,30,geel
21,30,blauw
22,30,rood
23,30,geel
24,30,rood
25,30,gebrokenwit
26,30,blauw
27,30,zwart
28,30,geel
29,30,zwart
30,30,gebrokenwit
31,30,geel
32,30,rood
33,30,geel
34,30,blauw
35,30,gebrokenwit
36,30,geel
37,30,gebrokenwit
38,30,rood
39,30,gebrokenwit
40,30,rood
41,30,gebrokenwit
42,30,zwart
43,30,gebrokenwit
44,30,rood
45,30,gebrokenwit
46,30,blauw
11,36,rood
12,36,geel
13,36,zwart
14,36,geel
15,36,blauw
16,36,gebrokenwit
17,36,zwart
18,36,gebrokenwit
19,36,zwart
20,36,geel
21,36,geel
22,36,zwart
23,36,geel
24,36,zwart
25,36,geel
26,36,rood
27,36,geel
28,36,zwart
29,36,rood
30,36,zwart
31,36,geel
32,36,rood
33,36,geel
34,36,zwart
35,36,rood
36,36,geel
37,36,zwart
38,36,geel
39,36,zwart
40,36,rood
41,36,geel
42,36,geel
36,12,geel
36,13,zwart
36,14,geel
36,15,rood
36,16,blauw
36,17,geel
36,18,rood
36,19,geel
36,20,zwart
36,21,geel
36,22,gebrokenwit
36,23,rood
36,24,zwart
36,25,rood
36,26,gebrokenwit
36,27,rood
36,28,blauw
36,29,geel
19,16,rood
20,16,gebrokenwit
21,16,blauw
22,16,geel
23,16,geel
17,18,rood
17,19,geel
13,23,zwart
14,23,gebrokenwit
15,23,zwart
17,23,rood
22,23,rood
22,24,geel
22,25,rood
22,27,geel
22,28,blauw
22,29,rood
22,30,rood
19,31,geel
20,31,rood
19,21,blauw
20,21,gebrokenwit
21,21,rood
22,21,gebrokenwit
23,21,zwart
32,21,rood
33,21,gebrokenwit
34,21,zwart
35,21,gebrokenwit
39,19,rood
40,19,zwart
41,19,rood
42,19,blauw
43,19,blauw
17,26,blauw
18,26,blauw
17,27,geel
18,27,geel
38,26,42,27,rood
45,24,zwart
45,25,geel
46,25,rood
45,27,blauw
46,27,geel
31,32,33,33,blauw
31,34,geel
31,35,zwart
13,28,15,29,blauw
38,29,geel
43,29,geel
44,29,zwart
45,29,rood
33,31,rood
45,31,blauw
37,31,zwart
33,34,blauw
35,34,rood
37,34,blauw
14,39,gebrokenwit
15,39,zwart
16,39,zwart
17,39,gebrokenwit
18,39,rood
19,39,zwart
24,39,zwart
25,39,gebrokenwit
26,39,rood
27,39,zwart
31,39,zwart
32,39,geel
33,39,zwart
34,39,rood
35,39,zwart
36,39,geel
37,39,zwart
38,39,gebrokenwit
17,42,rood
18,42,geel
19,42,geel
19,44,zwart
20,44,geel
21,44,geel
22,44,zwart
27,44,zwart
28,44,rood
29,44,gebrokenwit
30,44,rood
21,46,geel
22,46,zwart
32,46,rood
22,47,geel
30,47,geel
36,41,rood
47,41,rood
39,37,rood
38,35,blauw
42,35,blauw
9,31,10,33,gebrokenwit
7,32,8,33,gebrokenwit
